F1,Statistic,Quarter,Garda Division,Type of Offence,Unit,Number of Offences
"122,078",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Robbery of cash or goods in transit,Number,0
"122,076",Recorded Crime Offences under Reservation,4/1/2018,Kerry,"Robbery, extortion and hijacking offences",Number,6
"122,054",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Sexual offences,Number,24
"122,114",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Social code offences (n.e.c.),Number,3
"122,086",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Theft and related offences,Number,NA
"122,088",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Theft from person,Number,7
"122,089",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Theft from shop,Number,133
"122,087",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Theft/taking of vehicle and related offences,Number,8
"122,110",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Trespass offences,Number,12
"122,069",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Unseaworthy/dangerous use of boat or ship,Number,0
"122,098",Recorded Crime Offences under Reservation,4/1/2018,Kerry,Weapons and Explosives Offences,Number,11
"124,056",Recorded Crime Offences under Reservation,7/1/2018,Kerry,"Abandoning a child, child neglect and cruelty",Number,8
"124,062",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Abduction of person under 16 years of age,Number,0
"124,071",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Aggravated burglary,Number,0
"124,093",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Arson,Number,3
"124,049",Recorded Crime Offences under Reservation,7/1/2018,Kerry,"Assault causing harm, poisoning",Number,44
"124,045",Recorded Crime Offences under Reservation,7/1/2018,Kerry,"Attempts/threats to murder, assaults, harassments and related offences",Number,169
"124,068",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Blackmail or extortion,Number,2
"124,072",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Burglary (not aggravated),Number,71
"124,070",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Burglary and related offences,Number,72
"124,069",Recorded Crime Offences under Reservation,7/1/2018,Kerry,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,0
"124,080",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Controlled drug offences,Number,169
"124,094",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Criminal damage (not arson),Number,90
"124,082",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Cultivation or manufacture of drugs,Number,4
"124,092",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Damage to property and to the environment,Number,94
"124,052",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Dangerous driving causing serious bodily harm,Number,0
"124,041",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Dangerous driving leading to death,Number,0
"124,051",Recorded Crime Offences under Reservation,7/1/2018,Kerry,Dangerous or negligent acts,Number,77
